Title,Baths,Floor,Usable area,Beds,Rent Price,Location,Url
"5 Bedroom Condo for Rent in Pacific Plaza Towers, Taguig City",5.0,53.0,500.0,5.0,750000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/5-bedroom-condo-for-rent-in-bgc-metro-manila_9cba3618f928-62d1-b382-ff1f-b0c21089
FOR LEASE: Move-in Ready Unit in Uptown Parksuites with Unobstructed View,1.0,23.0,37.0,1.0,55000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/1-bedroom-condo-for-rent-in-bgc-metro-manila_83a36b2a85cd-a1ae-6ff2-3492-46263089
"For Lease: Fully Furnished 2 Bedroom Villa Unit at Verve Residences, BGC",3.0,3.0,139.0,2.0,180000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-verve-residences-bgc-metro-manila_94da4b3d5578-784f-eeb2-f590-b3532089
2-Bedroom Condo for Rent in Verve Residences BGC Taguig City,2.0,16.0,97.0,2.0,125000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-verve-residences-bgc-metro-manila_7a44f0c83b45-2200-b702-24e1-f0702089
"VERVE RESIDENCES Tower 1: 2BR For Rent, 97 sqm, Fully Furnished, 1 parking, P120,000/mo.",3.0,43.0,97.0,2.0,120000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-verve-residences-bgc-metro-manila_49fdcc78e8e2-6ace-0372-175b-a3de1089
"For Rent: Golf course view, 2-Bedroom Corner Unit - Icon Residences, BGC",3.0,28.0,156.0,2.0,150000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-bgc-metro-manila_5077db2bc3fd-a48f-9a72-ed88-0cf41089
"3BR IN UPTOWN PARKSUITES T1, BGC-TAGUIG CITY, 90SQM",2.0,35.0,90.0,3.0,90000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/3-bedroom-condo-for-rent-in-uptown-parksuites-bgc-metro-manila_a4447e78a885-acc1-ec22-4f93-49580089
"RFO, Beaufort BGC 3bedroom for Lease",2.0,1.0,155.0,3.0,155000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/3-bedroom-condo-for-rent-in-bgc-metro-manila_1fc932176b86-8d4e-7832-5225-e4920089
"1 Bedroom For Lease In Meranti at Two Serendra, Taguig City",1.0,12.0,56.0,1.0,55000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/1-bedroom-condo-for-rent-in-the-meranti-at-two-serendra-bgc-metro-manila_c6666b249b48-fe50-d362-ae68-452f1089
"Fully Furnished 2 Bedroom Unit For Rent at Arya Residences, BGC, Taguig",2.0,130.0,130.0,2.0,180000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-arya-residences-tower-1-bgc-metro-manila_1938b4c8185e-7dde-0692-ad10-80640089
Fully Furnished 2 Bedroom Condo For Rent Park Triangle Residences BGC condo for rent,2.0,1.0,82.0,2.0,110000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-bgc-metro-manila_f750550306aa-8d9e-bd22-ef33-02f40089
"UPTOWN RITZ RESIDENCE: 2BR For Rent, 80.3 sqm, Fully furnished, corner, P90,000/mo.",3.0,14.0,80.3,2.0,90000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-bgc-metro-manila_2c9a9833b168-cd70-a482-11f1-52db1089
"3 Bedroom For Lease in The Grand Hamptons, Taguig City",2.0,,171.25,3.0,175000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/3-bedroom-condo-for-rent-in-bgc-metro-manila_bd4928a711a1-a1df-be62-90fc-462f1089
"3 Bedroom For Lease in The St. Moritz Private Estate, Taguig City",3.0,,220.0,3.0,230000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/3-bedroom-condo-for-rent-in-bgc-metro-manila_3b8e15d687d2-bdfe-8792-e6b9-352f1089
"3BR IN CENTRAL PARKWEST, BGC-TAGUIG CITY, 100SQM",2.0,33.0,100.0,3.0,100000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/3-bedroom-condo-for-rent-in-central-park-west-bgc-metro-manila_94729a54f807-f6b0-bb82-f050-8f680089
"Arya Residences, 2-Bedroom Unit for Lease, BGC",2.0,,125.0,1.0,135000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/1-bedroom-condo-for-rent-in-arya-residences-tower-2-bgc-metro-manila_23bbd160fc2d-977f-c932-0371-6bf71089
"2 Bedroom Condo for Rent in Verve Residences, BGC, Taguig City",3.0,,130.0,2.0,170000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-verve-residences-bgc-metro-manila_9f3f8704f60c-8201-fd82-26ec-bb632089
Grand Hyatt Residences 205 sqm 3BR unit,3.0,,208.0,3.0,320000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/3-bedroom-condo-for-rent-in-grand-hyatt-manila-residences-bgc-metro-manila_23b36a6fc361-73b0-2d72-810a-93532089
"2 Bedroom Condo for Rent in 8 Forbestown, BGC, Taguig City",2.0,,97.0,2.0,115000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-bgc-metro-manila_27ca7395a1a6-483f-47b2-f583-d3532089
"2BR IN THE MONTANE, BGC-TAGUIG CITY, 65SQM",2.0,17.0,65.0,2.0,65000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-the-montane-bgc-metro-manila_0b6611da951b-50ff-1362-371f-e4190089
"THE FORT RESIDENCES: 2BR Bi-Level for Rent, 79.8 sqm, Fully Furnished, Nicely Interiored, 1 parking, P95,000/mo.",2.0,10.0,79.8,2.0,95000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-the-fort-residences-bgc-metro-manila_2c7ad3cd15a7-39ce-e482-544e-a2db1089
"3 Bedroom For Lease in Uptown Parksuites, Taguig City",1.0,,89.0,3.0,120000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/3-bedroom-condo-for-rent-in-bgc-metro-manila_633afbe6c2cd-e5c1-f352-8c3d-e98b1089
"3 Bedroom Condo for Rent in Regent Parkway, Taguig City",3.0,,307.0,3.0,265000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/3-bedroom-condo-for-rent-in-regent-parkway-bgc-metro-manila_b83603b737ca-4ed0-31c2-6714-68532089
"1-Bedroom Unit – Arya Residences, Taguig For Lease",1.0,10.0,70.0,1.0,80000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/1-bedroom-condo-for-rent-in-bgc-metro-manila_9c0145f47b66-15b1-8652-88df-a8b31089
"2 Bedroom For Lease in The Regent Parkway, Taguig City",2.0,,160.0,2.0,160000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-bgc-metro-manila_34d36b844e7c-8370-8162-3252-a82f1089
"2 Bedroom For Lease In One Maridien, Taguig City",2.0,,90.0,2.0,120000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-one-maridien-bgc-metro-manila_4c2806e40e70-f9fe-1e42-52aa-712f1089
"2 Bedroom For Lease in The Bellagio, Taguig City",2.0,,91.0,2.0,115000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-bgc-metro-manila_805022aebe22-2760-ba32-23f0-788b1089
"3 Bedroom For Lease in Essensa East Forbes, Taguig City",3.0,,290.0,3.0,290000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/3-bedroom-condo-for-rent-in-bgc-metro-manila_b6a93dabfd49-2dcf-b032-bf5a-9abc1089
Horizon Homes Shangrila The Fort BGC 3 Bedroom A Series For Rent near The Suites BGC,3.0,,319.0,3.0,542300.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/3-bedroom-condo-for-rent-in-bgc-metro-manila_7e5f4a705d19-da6f-8652-01ea-63820089
"For Rent Furnished Studio in Verve Residences BGC, Taguig (O-FCPV-V1-ST001)",1.0,28.0,37.0,,37000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/condo-for-rent-in-bgc-metro-manila_d827b4ec5033-7ebf-f662-25c1-ff0f3089
For Rent Two Serendra - Fully-interiored 2 Bedroom in The Sequoia,2.0,,88.0,2.0,135000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-sequoia-at-two-serendra-bgc-metro-manila_8c9e298827c9-846e-e442-da42-8e4a4089
"PACIFIC PLAZA TOWERS: 5BR Penthouse For Rent, Bi-level, 538 sqm, 3 parking, P650,000 per month",7.0,53.0,538.0,5.0,650000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/5-bedroom-condo-for-rent-in-bgc-metro-manila_cd868d828f4a-d7df-0832-033b-f9161089
"2 Bedrooms Condominium For Rent in Horizon Homes, BGC, Taguig",2.0,,250.0,2.0,415000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-bgc-metro-manila_17d698415faf-27bf-d592-4f1e-57532089
"2 BEDROOM FURNISHED UNIT FOR RENT IN 8 FORBESTOWN ROAD, BGC, TAGUIG CITY",2.0,,134.2,2.0,150000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-bgc-metro-manila_b178ef568620-737f-4322-b744-0e760089
"For Lease: Fully Furnished 2 Bedroom Unit at Verve Residences, BGC",3.0,,97.0,2.0,130000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-verve-residences-bgc-metro-manila_090edd58ce36-e710-b862-ce5f-72632089
"UPTOWN RITZ RESIDENCE: 2BR For Rent, 93.5 sqm, Fully Furnished, no parking, P89,000/mo.",3.0,21.0,93.5,2.0,89000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-bgc-metro-manila_a02fec2512bc-ccde-9372-e8a6-92db1089
Fully Furnished 3BR unit at Horizon Homes at The Fort BGC,4.0,,319.0,3.0,550000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/3-bedroom-condo-for-rent-in-bgc-metro-manila_5ec53310240c-d61e-4732-744a-95cc4089
"BGC, Fort Bonifacio Taguig City 2 Bedroom 2BR Condo for Rent at Bellagio",2.0,,91.0,2.0,115000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-bgc-metro-manila-near-mrt-3-buendia_9fc355a6155d-ab4e-d572-a4e7-1b290089
"TWO MARIDIEN: 2BR For Rent, 97 sqm, Fully Furnished, 1 parking, P120,000/mo.",3.0,29.0,97.0,2.0,120000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-two-maridien-bgc-metro-manila_16d8f8dac074-ba60-c282-870b-d1db1089
Beaufort BGC 3BR furnished for lease,3.0,,150.0,3.0,165000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/3-bedroom-condo-for-rent-in-bgc-metro-manila_e201cd274639-cbc0-bbc2-9b14-72db1089
"For Rent 2 Bedroom Interiored Unit at Avida Towers 34, BGC",2.0,4.0,65.0,2.0,65000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-bgc-metro-manila_080adacd0978-952e-a6d2-4ee5-edab1089
"For Rent: 2 Bedroom 2BR Condo at Verve Residences, BGC, Fort Bonifacio Taguig City",2.0,,97.0,2.0,125000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-verve-residences-bgc-metro-manila_f14ebb6e2721-c7fe-5362-065e-65780089
"EAST GALLERY PLACE: 3BR For Rent, 138 sqm, 17th, fully furnished, 2 parking, P210,000 per mo.",3.0,17.0,138.0,3.0,210000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/3-bedroom-condo-for-rent-in-east-gallery-place-bgc-metro-manila_7aba56d5ed63-b8c0-5b42-5f7f-1b150089
"FOR RENT: 3BR West Gallery Place, BGC",4.0,9.0,188.0,3.0,350000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/3-bedroom-condo-for-rent-in-west-gallery-place-bgc-metro-manila_937a62fda2e8-3a61-2662-773c-2a542089
Park McKinley West: 2BR with PARKING,2.0,,106.0,2.0,115000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-park-mckinley-west-bgc-metro-manila_3487481002ab-17a0-9d02-153c-aae32089
"BELLAGIO 3: 1BR For Rent, 61 sqm, Semi-Furnished, 1 parking, P45,000/mo.",1.0,31.0,61.0,1.0,45000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/1-bedroom-condo-for-rent-in-the-bellagio-3-bgc-metro-manila_90182be14ddf-ed8e-f352-01b9-74781089
"2BR unit for lease in Uptown Ritz, Bonifacio Global City Taguig City",2.0,22.0,80.3,2.0,90000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-bgc-metro-manila_3cb11af5f7dc-510e-d192-a343-12341089
"1-Bedroom 1BR Condo For Rent in BGC, Fort Bonifacio, Taguig at Bellagio",1.0,,60.0,1.0,65000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/1-bedroom-condo-for-rent-in-bellagio-towers-bgc-metro-manila_98927deb1dbe-68df-0222-83f0-b4763089
East Gallery Place 2 Bedroom Unit For Rent in BGC,2.0,,109.0,2.0,170000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-east-gallery-place-bgc-metro-manila_a74070e7c2e9-aa40-1f12-6b86-02632089
"For Rent 2 Bedroom Unit at Avida Towers Verte, BGC Taguig City",2.0,15.0,81.0,2.0,90000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-avida-towers-verte-bgc-metro-manila_8e920ff5c9f2-b331-4532-5c43-01632089
Fully Furnished Two Bedroom Unit In One Maridien BGC For Rent,2.0,,93.0,2.0,120000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-one-maridien-bgc-metro-manila_ad9433a904a7-0341-4092-49e2-873d1089
Pacific Plaza Tower | Three Bedroom 3BR Condo Unit For Rent - #8838,3.0,,298.0,3.0,280000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/3-bedroom-condo-for-rent-in-bgc-metro-manila_c208301cdd9f-9c21-6122-7e77-21c91089
Corner 2BR unit with Pop out windows at the Meranti of Two Serendra,2.0,25.0,78.0,2.0,85000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-the-meranti-at-two-serendra-bgc-metro-manila_1f24207b23b1-8fe0-ffd2-f5ee-19750089
"𝗙𝗢𝗥 𝗟𝗘𝗔𝗦𝗘/𝗥𝗘𝗡𝗧: 𝗟𝘂𝘅𝘂𝗿𝗶𝗼𝘂𝘀 𝟭𝗕𝗥 𝗨𝗻𝗶𝘁 𝗶𝗻 𝗢𝗻𝗲 𝗠𝗰𝗞𝗶𝗻𝗹𝗲𝘆 𝗣𝗹𝗮𝗰𝗲, 𝗕𝗚𝗖",1.0,20.0,76.0,1.0,76000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/1-bedroom-condo-for-rent-in-bgc-metro-manila_63b57d498d54-9f6e-7752-6c69-0e6d4089
Luxurious 3 Bedroom Penthouse Unit for Lease in 8 Forbestown,3.0,,144.0,3.0,155000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/3-bedroom-condo-for-rent-in-bgc-metro-manila_999fb75d4ac7-96bf-1e22-16ce-df1b2089
"3-Bedroom Condo for Rent at The Callery in Two Serendra, BGC",3.0,,116.0,3.0,152440.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/3-bedroom-condo-for-rent-in-two-serendra-bgc-metro-manila_6a5b3e4b821e-0a41-af82-b4e5-689c2089
"Fully-Furnished 3-Bedroom Condo for Sale in Essensa, BGC Taguig | DR88-001800",3.0,12.0,300.0,3.0,280000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/3-bedroom-condo-for-rent-in-essensa-towers-bgc-metro-manila_cc03129f1a48-15e1-db32-3ac3-8cf40089
"SAPPHIRE RESIDENCES BGC: 3BR For Rent, 129.08 sqm, Fully Furnished, 2 Prkg, P95K",4.0,,129.08,3.0,95000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/3-bedroom-condo-for-rent-in-sapphire-residences-bgc-metro-manila_ea12d570aa1d-7acf-8042-c16a-93532089
FOR LEASE-2BR in Park Avenue Towers.BGC near Uptown Mall and Mitsukoshi Mall,2.0,18.0,67.0,2.0,60000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-central-park-west-bgc-metro-manila_65073a52590c-3b6e-66a2-f19e-b4001089
"3-Bedroom Condo for Rent at The Callery in Two Serendra, BGC",3.0,,116.0,3.0,152440.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/3-bedroom-condo-for-rent-in-bgc-metro-manila_8f4203869375-e7b0-a552-6cb8-8eb24089
Uptown Ritz: 2BR facing Hyatt BGC,2.0,,78.8,2.0,60000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-bgc-metro-manila_452425f4bdf6-7751-c4d2-d188-36d32089
STUDIO FOR LEASE – MERANTI at TWO SERENDRA,1.0,37.0,36.0,,35000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/condo-for-rent-in-two-serendra-bgc-metro-manila_a20eaf89f131-ccce-de82-4761-ba850089
For Sale: 3BR Condo Unit w/ Balcony at The Trion Towers - Tower 3 in Taguig City,3.0,,97.54,3.0,85000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/3-bedroom-condo-for-rent-in-bgc-metro-manila_b51efa358f35-ad0f-ccb2-0da7-83632089
"FOR LEASE-3BR with Den in Grand Hyatt Residences South ,BGC",4.0,46.0,326.0,3.0,450000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/3-bedroom-condo-for-rent-in-grand-hyatt-manila-residences-bgc-metro-manila_e404197baa72-0281-2572-7f36-c14c2089
For Rent: 8 Forbestown Road - 2 Bedroom with 1 Parking with Green Views (Golf Course),2.0,35.0,98.2,2.0,110000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-bgc-metro-manila_dd24e3e2d057-9620-2362-dc4e-ee261089
2BR Condo for Lease/Rent in One Serendra BGC,2.0,,140.0,2.0,195000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-bgc-metro-manila_3ba963b4dd76-b25f-efb2-0d7a-c4532089
"2BR Condo for Rent in Red Oak at Two Serendra, BGC, Taguig - RR3242981",2.0,,120.0,2.0,100000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-two-serendra-bgc-metro-manila_d722e5e20c65-c800-4a72-28ad-ebff2089
"Grand Hyatt Residences 2 Bedroom 2BR Condo for Rent in BGC, Fort Bonifacio Taguig City",2.0,,120.0,2.0,200000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-grand-hyatt-manila-residences-bgc-metro-manila_2c18a7f2fd05-f400-f152-195f-2a290089
"1 Bedroom For Lease in The Montane, Taguig City",1.0,,36.9,1.0,50000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/1-bedroom-condo-for-rent-in-the-montane-bgc-metro-manila_2f6004da5631-32d0-ee22-8995-d2611089
"8 FORBESTOWN ROAD: 2BR For Rent, 98.2 sqm, Furnished, with balcony, 1 parking, P90,000/mo.",3.0,,98.2,2.0,90000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-bgc-metro-manila_bca54fe79f5e-f58e-a042-1035-4efb2089
"High Floor Garden Unit for Lease or Sale at East Tower, One Serendra – BGC",2.0,,402.0,3.0,500000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/3-bedroom-condo-for-sale-or-rent-in-bgc-metro-manila_0a52a82b8329-983f-e032-7aee-6f121089
1 BEDROOM WITH BALCONY FOR RENT IN ONE SERENDRA. BGC TAGUIG CITY,1.0,,76.0,1.0,85000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/1-bedroom-condo-for-rent-in-one-serendra-bgc-metro-manila_c2bb776b8186-18b0-9c82-e130-4e760089
"Condo Unit for Rent at Grand Hyatt, BGC, Uptown Bonifacio, Taguig City 2 Bedroom 2BR",3.0,,104.0,2.0,170000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-bgc-metro-manila_1bf887b55515-dd50-1392-db3b-d7111089
FOR LEASE FULLY-FURNISHED 3 BEDROOM UNIT IN PACIFIC PLAZA BGC,3.0,,,3.0,280000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/3-bedroom-condo-for-rent-in-bgc-metro-manila_35c9659e2557-ac2f-f442-bf70-3f041089
For lease 2BR in One Maridien,2.0,20.0,,2.0,110000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-one-maridien-bgc-metro-manila_7163f5a997e5-9141-8f12-805f-bf520089
Fully Furnished One Bedroom Unit in One Serendra BGC For Rent,1.0,,95.0,1.0,75000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/1-bedroom-condo-for-rent-in-one-serendra-bgc-metro-manila_b60924e14438-8b91-1492-ec7f-f63d1089
For Lease Rent 2 Bedroom Furnished West Gallery Place BGC Taguig City,2.0,38.0,138.0,2.0,230000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-west-gallery-place-bgc-metro-manila_2be6bb91fc6e-07df-1e22-a890-f2d70089
Fully-furnished 2-bedroom condo unit for rent with parking at West Gallery Place,2.0,,136.0,2.0,200000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-west-gallery-place-bgc-metro-manila_f3600419f115-bb1e-0a92-b222-94532089
"Nicely Furnished One Bedroom in Verve Tower 2, BGC For LEASE",1.0,,64.0,1.0,68000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/1-bedroom-condo-for-rent-in-verve-residences-bgc-metro-manila_78b8498fd580-8be0-e9d2-1ceb-52632089
"For Rent: Furnished 1 Bedroom Unit at Icon Plaza, BGC, Taguig City",1.0,,60.0,1.0,50000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/1-bedroom-condo-for-rent-in-icon-plaza-bgc-metro-manila_fe73eee68424-9090-eab2-92f8-cb632089
"FOR LEASE: Fully Furnished 2BR Condo with Golf Course View at 8 Forbestown Road, BGC PROPERTY CODE: DE88-001981",2.0,,,2.0,120000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-rent-in-bgc-metro-manila_0584ae4f8198-58c0-9a32-4df7-38590089
"Two Serendra 3 Bedroom 3BR Fully Furnished Condo Unit For Rent in BGC, Fort Bonifacio Taguig City",3.0,,107.0,3.0,140000.0,"Metro Manila, Taguig, BGC",https://www.dotproperty.com.ph/ads/3-bedroom-condo-for-rent-in-two-serendra-bgc-metro-manila_e85c9a240999-5a31-d452-1b61-8d9c1089
